,A,B,C,D,freq1,freq2,freq3,freq4,freq5,freq6,freq7,freq8,freq9,freq10,AB,BC,CD,AC,BD,AD,pedge00,pedge11,pnode,hnodes,lnodes,pedge
64,1,1,1,1,16,43,12,1,0,0,3,0,0,49,1,1,1,1,0,0,0.0,4.0,0.0,4.0,0.0,
65,0,1,1,1,96,174,52,3,1,0,1,0,0,85,1,1,1,1,0,0,0.0,2.0,0.0,3.0,1.0,
66,1,0,1,1,88,191,57,1,1,0,7,5,8,62,1,1,1,1,0,0,0.0,2.0,0.0,3.0,1.0,
67,1,1,0,1,442,811,291,9,0,11,12,6,4,186,1,1,1,1,0,0,0.0,1.0,0.0,3.0,1.0,
68,1,1,1,0,19,35,22,0,0,0,0,0,0,55,1,1,1,1,0,0,0.0,3.0,0.0,3.0,1.0,
69,1,1,0,0,6,19,14,0,0,0,0,6,0,21,1,1,1,1,0,0,1.0,1.0,1.0,2.0,2.0,
70,1,0,1,0,348,519,241,29,4,5,2,0,0,188,1,1,1,1,0,0,0.0,1.0,0.0,2.0,2.0,
71,1,0,0,1,763,1753,894,59,7,9,4,10,3,118,1,1,1,1,0,0,1.0,0.0,0.0,2.0,2.0,
72,0,1,1,0,299,505,218,28,4,0,4,6,21,149,1,1,1,1,0,0,0.0,1.0,0.0,2.0,2.0,
73,0,1,0,1,797,1859,873,58,7,9,4,4,7,116,1,1,1,1,0,0,1.0,0.0,0.0,2.0,2.0,
